"part_name","manufacturer","retail_price","supply_price"
"太湖明珠TH125－D两轮摩托车","正辉长荣（北京）科技有限公司           ","3200.00","9237.0320000000"
"哈雷爱俊达HL150－F两轮摩托车","嘉和明新                     ","3200.00","7240.1450000000"
"奔达BD125－B两轮摩托车","北纬公司                     ","3200.00","6005.1670000000"
"金轮JL125－10两轮摩托车","北京世和通达科技发展有限公司           ","3200.00","9883.5730000000"
"三友SY125T－5A两轮摩托车","北京芯网力科技有限公司              ","3200.00","4769.6420000000"
"三友SY125T－9两轮摩托车","北京锐智皓海数码科技有限责任公司         ","3200.00","5888.0920000000"
"三友SY125T－9两轮摩托车","北京锐智皓海数码科技有限责任公司         ","3200.00","5703.7200000000"
"福莱特FLT125－7两轮摩托车","北京金朗琪（原北京联惠佳）科技有限公司      ","3200.00","8474.5660000000"
"金狮JS125－B两轮摩托车","佳仕众合                     ","3200.00","4043.1740000000"
"三友SY125两轮摩托车","普兰普显示科技                  ","3300.00","6261.3500000000"
"金狮JS125T－8两轮摩托车","德华通                      ","3300.00","5511.9000000000"
"国威GW125T－3A两轮摩托车","北京芯网力科技有限公司              ","3300.00","4895.4260000000"
"金狮JS125－G两轮摩托车","北京芯网力科技有限公司              ","3300.00","9212.4210000000"
"金狮JS125－C两轮摩托车","北京太得豪办公设备商行              ","3300.00","4640.8000000000"
"三友SY125T－10两轮摩托车","北京太得豪办公设备商行              ","3300.00","9055.4140000000"
"奔达BD125－5两轮摩托车","神州泰岳集团                   ","3400.00","4220.4560000000"
"奔达BD125－5两轮摩托车","神州泰岳集团                   ","3400.00","5045.7020000000"
"山崎SAQ100ZK正三轮摩托车","北京万坤嘉和科技有限公司             ","3400.00","8355.9080000000"
"太湖明珠TH125两轮摩托车","北京万坤嘉和科技有限公司             ","3500.00","5022.3130000000"
"三友SY125－3两轮摩托车","嘉和明新                     ","3500.00","7236.1730000000"
"山崎SAQ125T－4两轮摩托车","嘉和明新                     ","3500.00","4450.3010000000"
"三友SY50QT－5轻便两轮摩托车","北京鑫理想                    ","3600.00","6773.4190000000"
"国威GW125－F两轮摩托车","北京鑫理想                    ","3600.00","4541.7720000000"
"国威GW125－F两轮摩托车","北京鑫理想                    ","3600.00","3676.1540000000"
"国威GW125－F两轮摩托车","北京鑫理想                    ","3600.00","9205.6720000000"
"山崎SAQ125ZK正三轮摩托车","北京金朗琪（原北京联惠佳）科技有限公司      ","3600.00","6625.4790000000"
"国威GW150－4两轮摩托车","德华通                      ","3800.00","5552.7340000000"
"金轮JL125T－19两轮摩托车","北京万坤嘉和科技有限公司             ","4000.00","9770.0960000000"
"凌云LY125T－15两轮摩托车","北京普劳德技贸公司                ","4100.00","7535.7380000000"
"鑫轮XL250－2两轮摩托车","北京嘉业商贸公司                 ","4200.00","9344.4440000000"
"爱立新ALX150－6两轮摩托车","北京锐智皓海数码科技有限责任公司         ","4200.00","8217.7210000000"
"福莱特FLT150T两轮摩托车","华颖天达                     ","4200.00","9853.7730000000"
"凌云LY150两轮摩托车","华颖天达                     ","4300.00","5644.8300000000"
"国威GW150－5两轮摩托车","北京金朗琪（原北京联惠佳）科技有限公司      ","4300.00","7040.0640000000"
"福莱特FLT150－3两轮摩托车","迈拓科技                     ","4700.00","6298.8790000000"
"爱立新ALX150－7两轮摩托车","永信达盛                     ","4800.00","4909.3240000000"
"奔达BD250T两轮摩托车","长峰时代                     ","4900.00","8560.7610000000"
"福莱特FLT150－2A两轮摩托车","北京易禾点击网络商务有限公司           ","5300.00","6296.0020000000"
"爱立新ALX125－6两轮摩托车","北京创今时代数字技术有限公司           ","5900.00","9953.2820000000"
"哈雷爱俊达HL250－3两轮摩托车","北京万坤嘉和科技有限公司             ","6500.00","9850.6230000000"
"凌云LY125－2两轮摩托车","北京大华                     ","5000.00","6738.8630000000"
"奥迪（AUDI）牌AUDI A6L 2.8                                  ","北京易禾点击网络商务有限公司           ","3200.00","6919.0240000000"
"铜江牌TJX5820CD型自卸四轮农用运输车","北京蓝海办公                   ","0.00","4660.7390000000"
"铜江牌TJX5820CD型自卸四轮农用运输车","北京蓝海办公                   ","0.00","7316.6100000000"
"铜江牌TJX2010CD型自卸四轮农用运输车","北京东仁现代办公设备公司             ","0.00","304.9587000000"
"凌本LB125T两轮摩托车","上海光华仪表厂                  ","2600.00","8943.5210000000"
"凌本LB50QT－4B轻便两轮摩托车","广东湛海仪表有限公司               ","2600.00","3805.7630000000"
"凌本LB50QT－4B轻便两轮摩托车","广东湛海仪表有限公司               ","2600.00","5681.8890000000"
"凌本LB125T－9两轮摩托车","广东湛海仪表有限公司               ","2600.00","7419.3940000000"
"凌本LB125T－5A两轮摩托车","广东湛海仪表有限公司               ","2700.00","6173.2540000000"
"凌本LB125T－5B两轮摩托车","北京蓝海办公                   ","2800.00","3663.8690000000"
"凌本LB110－2两轮摩托车","北京蓝海办公                   ","2800.00","7871.6270000000"
"凌本LB125－E两轮摩托车","北京启中启办公设备批发中心            ","3000.00","8974.9260000000"
"凌本LB125－2E两轮摩托车","正宏业                      ","3100.00","3964.9830000000"
"隆鑫LX90两轮摩托车","中科纵横                     ","3200.00","9566.7250000000"
"隆鑫LX90两轮摩托车","中科纵横                     ","3200.00","8618.5480000000"
"凌本LB125T－7两轮摩托车","鑫正慈公司                    ","3200.00","6365.6160000000"
"凌本LB50QT－30轻便两轮摩托车","鑫正慈公司                    ","3200.00","9652.5390000000"
"凌本LB50QT－28轻便两轮摩托车","金杰伟业                     ","3200.00","6517.4740000000"
"凌本LB125T－26两轮摩托车","北京易禾点击网络商务有限公司           ","3200.00","5880.6500000000"
"华鲨HS100－2两轮摩托车","北京东仁现代办公设备公司             ","3400.00","4176.5180000000"
"华鲨HS100－2两轮摩托车","北京东仁现代办公设备公司             ","3400.00","5886.3710000000"
"恒胜HS110－6两轮摩托车","北京博飞电子技术有限责任公司           ","3400.00","4362.0450000000"
"凌本LB125－B两轮摩托车","北京鑫汉施德科贸有限公司             ","3500.00","9600.6180000000"
"凌本LB125－18两轮摩托车","北京东仁现代办公设备公司             ","3600.00","9665.7690000000"
"东毅TE100－2两轮摩托车","鑫金爱办公                    ","3600.00","7634.9460000000"
"众星ZX110－18两轮摩托车","北京东仁现代办公设备公司             ","3600.00","7804.3290000000"
"金城JC110－16两轮摩托车","北京市金朝辉伟业科技有限责任公司         ","3700.00","7855.3150000000"
"金城JC110－16两轮摩托车","北京市金朝辉伟业科技有限责任公司         ","3700.00","6058.1430000000"
"豪爵HJ110两轮摩托车","上海光华仪表厂                  ","3800.00","9574.1570000000"
"建设JS125－10两轮摩托车","广东湛海仪表有限公司               ","3900.00","4591.0530000000"
"迅龙XL125T－5两轮摩托车","广东湛海仪表有限公司               ","4000.00","6361.6160000000"
"金城JC125两轮摩托车","广东湛海仪表有限公司               ","4100.00","6437.5420000000"
"金城JC125两轮摩托车","广东湛海仪表有限公司               ","4100.00","8974.2830000000"
"金城JC125两轮摩托车","广东湛海仪表有限公司               ","4100.00","7483.0270000000"
"大阳DY100－15两轮摩托车","广东湛海仪表有限公司               ","4200.00","8936.5210000000"
"大阳DY100－15两轮摩托车","广东湛海仪表有限公司               ","4200.00","5853.6850000000"
"力帆LF125－3两轮摩托车","北京中盛科技集团                 ","4200.00","7180.3070000000"
"华鲨HS125－3A两轮摩托车","北京东方商瑞软件公司               ","4700.00","5712.4910000000"
"健龙KR125－10两轮摩托车","广东湛海仪表有限公司               ","4800.00","9145.7450000000"
"新感觉XGJ125－9两轮摩托车","广东湛海仪表有限公司               ","4800.00","8474.0530000000"
"华鲨HS125T－B两轮摩托车","上海光华仪表厂                  ","4800.00","8231.8800000000"
"众星ZX125－7两轮摩托车","广东湛海仪表有限公司               ","4800.00","5214.4250000000"
"银河YH125－3两轮摩托车","北京启中启办公设备批发中心            ","5300.00","8020.5350000000"
"五羊－本田WY125－A两轮摩托车","北京启中启办公设备批发中心            ","5400.00","8111.2050000000"
"大阳DY125－22A两轮摩托车","北京金迪威科技发展有限公司            ","5400.00","5545.4610000000"
"HONDASDH125两轮摩托车","北京布莱迪仪器仪表有限公司            ","5800.00","6148.1840000000"
"力帆LF150－A两轮摩托车","秦川机床集团宝鸡仪表有限公司           ","5800.00","6495.9580000000"
"三铃SL125T两轮摩托车","自贡市惠邦仪表有限公司              ","6000.00","8261.6690000000"
"隆鑫LX150－6两轮摩托车","自贡市惠邦仪表有限公司              ","6000.00","7046.4560000000"
"迅龙XL150T－2两轮摩托车","自贡市惠邦仪表有限公司              ","6000.00","9601.4480000000"
"银河YH125－9两轮摩托车","自贡市惠邦仪表有限公司              ","6200.00","6322.0550000000"
"隆鑫LX150两轮摩托车","重庆川仪股份有限公司仪表七厂           ","6600.00","6726.7640000000"
"宗申ZS150－19A两轮摩托车","广东湛海仪表有限公司               ","7400.00","7686.7190000000"
"春兰CL125－9两轮摩托车","宁波水表股份有限公司               ","7500.00","8158.8720000000"
"YAMAHAZY100T－2两轮摩托车","常州热工仪表总厂                 ","7600.00","8947.2390000000"
"万能式断路器","北戴河阀门厂                   ","1040.00","8170.0340000000"
"无动力草坪机","上海重型机器厂                  ","1220.00","7075.1000000000"
"手持式凿岩机","辽源市重型机器厂                 ","1400.00","5417.7800000000"
"提升塞","安阳机械厂                    ","1703.00","8702.7640000000"
"潜孔冲击器","罗源木工机床厂                  ","1770.00","6683.7020000000"
"塑壳断路器","南京裕浦电器厂                  ","1850.00","9789.7040000000"
"中型四铧犁","广州市申发机电有限公司              ","1880.00","6088.1900000000"
"气腿式凿岩机","商周国际股份有限公司               ","3180.00","6762.2390000000"
"NEC显示器","迪兰拓展                     ","3200.00","5776.7120000000"
"过滤器","北京长拓                     ","3240.00","4744.2720000000"
"过滤器","北京长拓                     ","3240.00","8215.7260000000"
"过滤器","北京长拓                     ","3240.00","6028.7740000000"
"联想打印机","牡丹汽车股份有限公司               ","3480.00","6767.8560000000"
"三相异步电动机","鞍山客车制造总厂                 ","3660.00","6206.0510000000"
"电动垂直板式蝶阀","保定北方调速有限公司               ","4000.00","6157.4680000000"
"铜芯塑料线","人民电器集团                   ","4720.00","5221.2050000000"
"拖拉机","河北邢台电缆厂                  ","6200.00","8842.4110000000"
"固体微量元素喂料器","苏州九龙电缆有限公司               ","6760.00","6984.2990000000"
"HP台式机","新乡市电缆厂                   ","6999.00","7589.1980000000"
"YK多用户卡","上海腾达广播器材有限公司             ","780.00","8154.1490000000"
"YK多用户卡","上海腾达广播器材有限公司             ","780.00","3242.8950000000"
"冲击继电器","成都泰立广播电视研究所              ","791.00","892.9039000000"
"冲击继电器","成都泰立广播电视研究所              ","791.00","1945.7550000000"
"长虹彩色电视机","创智威                      ","876.00","3103.4940000000"
"过滤器","神州泰岳集团                   ","894.00","1532.9030000000"
"刀开关","北京太得豪办公设备商行              ","950.00","8703.0660000000"
"竹炭净化包","江西赣州阀门厂                  ","3.50","9970.9710000000"
"竹炭净化包","江西赣州阀门厂                  ","3.50","4455.9610000000"
"小炭包","郑州市蝶阀厂                   ","4.00","2775.4740000000"
"冰箱除味包","淮阴市清江化工阀门总厂              ","6.00","8055.2830000000"
"儿童网眼鞋垫","上海沪祥阀门厂                  ","6.00","7700.2490000000"
"竹炭皂","湖北沙市阀门总厂                 ","8.00","2530.4490000000"
"竹醋皂","中信重型机械公司洛阳洛矿研究院洛阳洛矿采选设备","8.00","2023.0390000000"
"布艺包","江苏省启东阀门厂                 ","10.00","4970.2780000000"
"竹炭网状透气鞋垫","湖北省武汉阀门水处理机械股份有限公司       ","10.00","2667.1360000000"
"竹炭网状透气鞋垫","湖北省武汉阀门水处理机械股份有限公司       ","10.00","5075.5150000000"
"竹炭网状透气鞋垫","湖北省武汉阀门水处理机械股份有限公司       ","10.00","2149.3320000000"
"竹醋木瓜按摩皂","沈阳市新民高中压阀门厂              ","10.00","2640.4170000000"
"竹炭黄土按摩皂","沈阳市新民高中压阀门厂              ","10.00","443.3943000000"
"竹炭黄土按摩皂","沈阳市新民高中压阀门厂              ","10.00","3606.7990000000"
"竹纤维宝宝巾","江苏省启东阀门厂                 ","11.00","4176.5570000000"
"居室空气净化炭","江苏省启东阀门厂                 ","11.50","9506.3040000000"
"炭纤维学生袜","河南省郑州市上街蝶阀厂              ","11.50","7285.3380000000"
"竹炭纤维袜(女)","湖南省长沙市阀门厂                ","11.80","133.0167000000"
"竹炭纤维袜(女)","湖南省长沙市阀门厂                ","11.80","5025.7400000000"
"竹炭香樟防蛀剂","江苏省启东阀门厂                 ","12.00","1001.2280000000"
"竹炭眼罩","河南省郑州市上街蝶阀厂              ","12.00","8807.5390000000"
"竹炭除臭鞋垫","郑州市蝶阀厂                   ","12.00","3936.5250000000"
"竹纤维柔肤巾","江苏省靖江市阀门厂                ","13.00","5214.0250000000"
"竹炭亮白牙膏","湖北省武汉阀门水处理机械股份有限公司       ","13.00","5160.1460000000"
"竹炭纤维袜","湖北沙市阀门总厂                 ","14.50","8101.5810000000"
"竹醋竹花皂","四川省邛崃县阀门厂                ","14.80","3953.1010000000"
"竹醋竹花皂","四川省邛崃县阀门厂                ","14.80","941.7488000000"
"竹醋透明皂","河南省鹤壁市阀门厂                ","15.00","9941.3440000000"
"竹醋丝瓜络皂","广东省韶关市阀门厂                ","15.60","5060.8590000000"
"竹纤维袜(男式)","上海北蔡阀门厂                  ","16.00","9602.2550000000"
"竹纤维儿童女袜","天津新星阀门厂                  ","16.00","3879.9220000000"
"多用途卡通炭包","江苏省扬中县阀门厂                ","17.20","7090.5900000000"
"居室香樟炭包","福州第二阀门厂                  ","18.00","3571.4160000000"
"居室香樟炭包","福州第二阀门厂                  ","18.00","5280.1230000000"
"竹醋护足露","江西赣州阀门厂                  ","18.00","5877.0640000000"
"竹醋沐浴露","自贡市第二阀门厂                 ","18.60","7812.3680000000"
"居室用炭","兰州低压阀门厂                  ","20.00","2024.2020000000"
"衣柜用炭","青岛蝶阀厂                    ","20.00","3555.3020000000"
"室内空气清新炭","江苏省启东阀门厂                 ","20.00","8814.8370000000"
"室内空气清新炭","河南省郑州市上街蝶阀厂              ","20.00","1315.4440000000"
"室内空气清新炭","河南省郑州市上街蝶阀厂              ","20.00","3755.5520000000"
"汽车用炭","温州市鹿城电动阀门厂               ","20.00","4540.6720000000"
"竹中竹保健袜(男)","湖北省武汉阀门水处理机械股份有限公司       ","23.00","6595.5520000000"
"竹醋洗发露","常州市阀门驱动装置厂               ","24.00","9367.3070000000"
"竹纤维韵姿背心","四川省邛崃阀门有限公司              ","24.50","4238.5530000000"
"竹醋欢乐金水","湖北省武汉阀门水处理机械股份有限公司       ","24.70","4222.7880000000"
"多用途炭包","武汉阀门三厂                   ","25.00","4722.7850000000"
"叠式炭包","湖北省武汉阀门水处理机械股份有限公司       ","25.00","1566.0860000000"
"炭纤维缎格毛巾","湖北沙市阀门总厂                 ","26.00","1685.0840000000"
"竹炭滋润洁面膏","沈阳市新民高中压阀门厂              ","26.00","1353.7050000000"
"竹炭滋润洁面膏","沈阳市新民高中压阀门厂              ","26.00","2634.5650000000"
"竹纤维运动巾","无锡市中高压阀门厂                ","31.00","9412.3750000000"
"竹纤维男士背心","上海阀门厂                    ","31.00","6035.4820000000"
"竹纤维内裤","上海阀门二厂                   ","32.00","5526.3660000000"
"竹纤维内裤","上海阀门二厂                   ","32.00","8746.3950000000"
"炭纤维内裤","江苏省无锡市阀门厂                ","32.00","8379.4020000000"
"炭纤维内裤","江苏省无锡市阀门厂                ","32.00","7120.4330000000"
"居室空气净化炭","浙江省永康阀门厂                 ","33.00","1508.4070000000"
"竹纤维毛巾","上海阀门五厂                   ","35.00","2908.5410000000"
"竹纤维百花争艳毛巾","锦州阀门总厂                   ","36.00","2975.0920000000"
"竹纤维百花争艳毛巾","锦州阀门总厂                   ","36.00","2376.5290000000"
"竹纤维百花争艳毛巾","锦州阀门总厂                   ","36.00","8520.5930000000"
"竹纤维内裤","锦州阀门总厂                   ","36.00","8512.0650000000"
"竹纤维内裤","锦州阀门总厂                   ","36.00","735.1021000000"
"竹纤维内裤","锦州阀门总厂                   ","36.00","8001.3000000000"
"竹纤维儿童内裤","浙江求精泵阀制造有限公司             ","36.00","9895.2930000000"
"竹纤维威朗内裤","南昌市八一阀门厂                 ","37.20","3566.8310000000"
"提花炭纤维毛巾","西安泵阀总厂                   ","37.50","5648.2440000000"
"竹炭颈椎枕","自贡高压阀门股份有限公司             ","39.00","9112.0960000000"
"竹炭颈椎枕","自贡高压阀门股份有限公司             ","39.00","1342.2500000000"
"竹醋洗衣液","上海市嘉定阀门厂                 ","39.00","369.7622000000"
"竹醋洗衣液","上海市嘉定阀门厂                 ","39.00","5060.7730000000"
"快乐宝宝花边枕","江西南昌阀门总厂                 ","40.00","3091.0820000000"
"炭纤维男士背心","牡丹江阀门总厂                  ","40.00","4238.6120000000"
"一体机、油印机配套","江苏省扬中县阀门厂                ","40.00","3082.8220000000"
"灰太狼","上海阀门厂                    ","42.00","2282.4890000000"
"竹炭颈椎枕","浙江求精泵阀制造有限公司             ","50.00","9388.3550000000"
"惠普墨盒","惠普                       ","50.00","1797.8020000000"
"竹纤维无捻豹纹毛巾","沈阳高中压阀门厂                 ","52.00","9787.3810000000"
"大头狗","浙江求精泵阀制造有限公司             ","55.00","2185.5190000000"
"儿童枕","锦州阀门总厂                   ","56.00","3239.5000000000"
"竹炭颈椎枕","江苏省扬中县阀门厂                ","58.00","3899.3410000000"
"三角腰枕","上海阀门厂                    ","58.00","8717.5110000000"
"惠普墨盒","惠普                       ","58.00","2969.6040000000"
"惠普墨盒","惠普                       ","58.00","955.7872000000"
"时尚小抱枕","南通市电站阀门厂                 ","62.00","1612.3510000000"
"短绒毛汽车靠枕","苏州高中压阀门厂                 ","63.00","5181.5650000000"
"竹纤维男士背心","江苏省无锡市阀门厂                ","65.00","7645.5490000000"
"远红外护腰带","江苏省南通阀门厂                 ","68.00","2797.5740000000"
"远红外护腰带","江苏省南通阀门厂                 ","68.00","5268.4490000000"
"抱枕","江苏省南通阀门厂                 ","70.00","9880.1700000000"
"惠普墨盒","惠普                       ","70.00","486.3472000000"
"惠普墨盒","惠普                       ","70.00","6621.5530000000"
"惠普墨盒","惠普                       ","72.00","4947.6050000000"
"惠普墨盒","惠普                       ","72.00","8210.7200000000"
"惠普墨盒","惠普                       ","72.00","566.3265000000"
"多功能豪华炭包","江苏省南通阀门厂                 ","75.00","1472.0370000000"
"卡通竹炭腰枕","江苏省南通阀门厂                 ","78.00","5079.7040000000"
"惠普墨盒","惠普                       ","80.00","9011.9310000000"
"惠普墨盒","惠普                       ","82.00","7223.5270000000"
"佳能墨盒","佳能                       ","85.00","9073.7190000000"
"佳能墨盒","佳能                       ","85.00","7810.1800000000"
"佳能墨盒","佳能                       ","85.00","6548.7080000000"
"佳能墨盒","佳能                       ","85.00","7014.3950000000"
"佳能墨盒","佳能                       ","85.00","2608.7610000000"
"佳能墨盒","佳能                       ","85.00","709.6665000000"
"佳能墨盒","佳能                       ","85.00","523.1467000000"
"佳能墨盒","佳能                       ","85.00","3195.6300000000"
"茶香健康枕","河南省鹤壁市阀门厂                ","87.50","7805.0800000000"
"竹醋抗皱美白眼霜","福州第二阀门厂                  ","88.00","1318.0910000000"
"佳能墨盒","佳能                       ","90.00","9521.2170000000"
"佳能墨盒","佳能                       ","95.00","2523.9890000000"
"佳能墨盒","佳能                       ","95.00","6594.9440000000"
"一体机、油印机配套","山西省阳泉市阀门厂                ","95.00","3362.8470000000"
"一体机、油印机配套","山西省阳泉市阀门厂                ","95.00","8311.3900000000"
"竹醋保湿滋养乳液","昆明重工（集团）股份有限公司           ","98.00","8390.0210000000"
"惠普墨盒","惠普                       ","98.00","1182.3160000000"
"惠普墨盒","惠普                       ","98.00","7858.8930000000"
"惠普墨盒","惠普                       ","98.00","9559.0630000000"
"佳能墨盒","佳能                       ","100.00","5988.4560000000"
"竹炭空气清新篮","河南省鹤壁市阀门厂                ","106.00","7288.0220000000"
"少年快眠枕","河北省隆尧县明珠阀门有限公司           ","106.00","8757.7620000000"
"竹醋美白光彩粉底液","淮阴市清江化工阀门总厂              ","108.00","1960.7510000000"
"佳能墨盒","佳能                       ","110.00","2626.9690000000"
"竹纤维围巾","江西赣州阀门厂                  ","114.00","5679.0510000000"
"惠普墨盒","惠普                       ","115.00","7019.8960000000"
"竹炭保健靠枕","江西省萍乡市阀门厂                ","116.00","8503.4380000000"
"惠普墨盒","惠普                       ","120.00","878.2389000000"
"加香安逸枕","长春高中压阀门厂                 ","123.00","363.9952000000"
"加香安逸枕","长春高中压阀门厂                 ","123.00","9451.4060000000"
