"supplier_id","supplier_name","address"
4474,"花衣赏精品外贸服装有限公司            ","广东 深圳市 福田区"
121,"上海逸顺装饰设计有限公司             ","上海市金山区亭林镇金展路2229号4号楼383室"
241,"上海浩君金属制品厂                ","青浦区练塘镇朱枫公路6186弄22幢3号"
661,"上海神烁金属材料有限公司             ","上海市杨浦区国和路475号206室"
712,"上海法炫莉国际贸易有限公司            ","上海市南汇区万祥镇振万路2号1幢359室（临港）"
943,"上海晓松实业有限公司               ","青浦区新达路1218号3号楼3305室"
961,"上海同界广告传播有限公司             ","上海市普陀区真南路487号125室"
993,"上海高赣电子科技有限公司             ","上海市金山区亭林镇金展路2229号4号楼378室"
1072,"上海几何木业有限公司               ","上海市闵行区浦江镇丰南路1098号102室"
1360,"上海乐韩服饰有限公司               ","嘉定区曹安公路1877号5层615室"
1436,"上海山霞实业有限公司               ","上海市闵行区元江路5500号1号楼1498室"
1445,"上海商谊礼品有限公司               ","嘉定区娄塘镇小东街152号8幢B区337室"
1460,"上海沪浩化工有限公司               ","嘉定工业区旺泾村（殷周）578号5幢505室"
1479,"上海吉檀伽利服饰有限公司             ","上海市金山区枫泾镇贵泾路38号5幢B区"
1481,"上海蓝醇商务咨询有限公司             ","上海市金山区亭林镇林宝路39号5幢232室"
1677,"上海乾禹建筑装潢材料有限公司           ","上海市杨浦区控江路2061号8楼809－810室"
1696,"上海辉智光电科技有限公司             ","上海市普陀区真北路3199弄13号202室"
1775,"上海皇派装饰材料有限公司             ","嘉定区嘉唐路1155号5幢2180室"
1949,"天通手机厂                    ","广东 东莞市 dobgguan"
2034,"广州市花都区狮岭创兴电器厂销售部         ","广东 广州市 花都区狮岭镇田心路工业区"
2508,"深圳市恒瑞元电子科技有限公司           ","广东 深圳市 宝安49区"
2574,"深圳市宝安区新安祥达五金部            ","广东 深圳市 宝安臣田工业区８栋"
2637,"深圳市生力机电有限公司 业务部          ","广东 深圳市 宝安广深路西乡段19号生力机电大厦"
2771,"深圳宝安西乡澳力克塑胶制品有限公司        ","广东 深圳市 宝安区.西乡镇"
2886,"深圳市联成工业设备公司              ","广东 深圳市 宝安区福永桥头富海工业区1栋"
2927,"凯帝粮果食品公司                 ","广东 深圳市 宝安区福永镇富桥三工业区"
3301,"深圳市尧灵星服务有限公司(业务部)        ","广东 深圳市 宝安区沙井万丰大朗山西路23号"
3331,"裕得鑫模具有限公司                ","广东 深圳市 宝安区沙井镇芙蓉工业区岗仔工业园"
3468,"松慧精密科技（深圳）有限公司           ","广东 深圳市 宝安区松岗街道慧丰工业园"
3471,"深圳市宝安区松岗飞迪货运服务部          ","广东 深圳市 宝安区松岗居乐苑商铺21号"
3603,"蓝闽贸易公司                   ","广东 深圳市 宝安区西乡黄田377号(黄田幼儿园对面直入100米)"
3665,"深圳市永红电子有限公司              ","广东 深圳市 宝安区西乡镇固戍一路新雄工业区D栋"
4010,"天府雅阁                     ","广东 深圳市 布吉大芬油画村老围东十三巷三号"
4272,"深圳市创辉礼品包装厂               ","广东 深圳市 地址：深圳市龙岗区横岗镇六约六和路106号"
4337,"深圳鸿红贸易有限公司               ","广东 深圳市 福强路138号"
4501,"深圳超捷服饰有限公司               ","广东 深圳市 福田区八卦二路524栋东6F"
4556,"深圳市烁迪科技有取公司              ","广东 深圳市 福田区北环大道7043#青海大厦24E-F"
4747,"环怡科技发展有限公司               ","广东 深圳市 福田区国际商会中心0812"
4970,"深圳市晶创微电子公司               ","广东 深圳市 福田区南光捷佳大厦８１３室"
5191,"深圳市奇格软件技术有限公司            ","广东 深圳市 福田区益田村76-403"
5213,"三江计算机通讯产品有限公司(深圳）蓝牙事业部   ","广东 深圳市 福田区振华路55号2栋士必达大厦601室。"
5462,"深圳江浩电子有限公司研发部            ","广东 深圳市 公明街道上村"
5502,"鑫金达科技有限公司                ","广东 深圳市 公明镇红星村星工一路18号"
5519,"深圳时运佳电子有限公司              ","广东 深圳市 公明镇马山头工业区"
5610,"润锋电子厂                    ","广东 深圳市 观谰镇樟坑径下围村"
5755,"福斯特空压机有限公司               ","广东 深圳市 广东深圳市龙华"
5983,"深圳市益骏丰实业发展有限公司           ","广东 深圳市 广东省深圳市罗湖区人民南路深房广场B座3104号"
6055,"通用胶袋厂                    ","广东 深圳市 国际商品交易大厦五楼"
6205,"广东省深圳市威奇电池有限公司           ","广东 深圳市 华发南路通天地"
6209,"深圳市建茂数码科技有限公司Kingmo      ","广东 深圳市 华富路航都CATIC大厦19D"
6297,"深圳市科达光电贸易有限公司            ","广东 深圳市 华强北路上步工业区205栋5128室"
6414,"鸿信佳科技有限公司                ","广东 深圳市 蒋围新村１４排１０栋"
6453,"深圳市大盛投资有限公司光电科技分公司       ","广东 深圳市 科技园中区深健大厦4楼D2"
6814,"衡立泰礼品有限公司                ","广东 深圳市 龙岗区布吉镇上水径丽湖"
6961,"新森昌光学电子厂                 ","广东 深圳市 龙岗区龙岗镇同乐村"
7078,"永通包装材料厂                  ","广东 深圳市 龙岗区坪地镇中心塘尾村13号"
7329,"深圳市博锐恒科技有限公司业务部          ","广东 深圳市 龙华大浪水围新村金恒瑞工业园西座6楼"
7749,"广东省富通贸易有限公司              ","广东 深圳市 罗湖区爱国路"
7886,"深圳寰宇专业潜水中心               ","广东 深圳市 罗湖区东门南路3002号(嘉宾路交界)华都园(西武)商业大厦18楼"
7908,"深圳福特佳进出口有限公司             ","广东 深圳市 罗湖区凤凰路京达会所20楼"
8027,"深圳市兴林服饰贸易公司              ","广东 深圳市 罗湖区梅园路笋岗大厦820室"
8305,"安捷实业有限公司(贸易部)            ","广东 深圳市 南山创业路现代华庭5栋"
8504,"深圳市迅联科技有限公司              ","广东 深圳市 南山区科技园南区T3栋5F"
8874,"利康宝科技有限公司                ","广东 深圳市 平湖华南城"
9063,"深圳精控机电有限公司业务部            ","广东 深圳市 沙井上寮商业街宏祥路2号厂房"
9067,"同盟设备电子公司                 ","广东 深圳市 沙井万安工业区"
9214,"深圳星光影视有限公司               ","广东 深圳市 深南大道财富广场A座24楼"
9267,"安居企业会计代理有限公司张杨分公司        ","广东 深圳市 深南中路2018号兴华大厦东座10楼"
9469,"深圳恒之利贸易有限公司              ","广东 深圳市 深圳"
9534,"深圳东明贸易有限公司               ","广东 深圳市 深圳爱国路"
9535,"深圳市帕斯托化工有限公司             ","广东 深圳市 深圳爱国路外贸轻工大厦"
9597,"深圳市永威机电设备有限公司技术部         ","广东 深圳市 深圳宝安"
9689,"耀丰不干胶贴纸厂                 ","广东 深圳市 深圳宝安福永镇塘尾南玻大道13号"
9704,"富达五金塑胶制品厂                ","广东 深圳市 深圳宝安观兰镇"
9717,"标致制品（深圳）有限公司             ","广东 深圳市 深圳宝安黄埔工业区"
9855,"实美达有限责任公司                ","广东 深圳市 深圳宝安区沙井司法大楼后B栋503"
9970,"嘉能实业有限公司                 ","广东 深圳市 深圳宝安西乡"
9981,"深圳市奥科伟业科技发展有限公司销售部       ","广东 深圳市 深圳宝安西乡臣田工业区34栋4楼"
10071,"深圳市升铭机械有限公司              ","广东 深圳市 深圳布吉坂田"
10250,"深圳市宏图印刷有限公司              ","广东 深圳市 深圳福田区八卦岭工业区423栋"
10330,"深圳普易科技有限公司               ","广东 深圳市 深圳福田区深南中路1016号春晖苑丙单元1209室"
10346,"深圳意雅图数码设计有限公司            ","广东 深圳市 深圳福田区益田路江苏大厦B座1009、1010室"
10476,"格洋五金饰品厂                  ","广东 深圳市 深圳横岗"
10563,"广东佛山市优力特电源技术有限公司         ","广东 深圳市 深圳建设路"
10746,"深圳平湖盈邦电脑锣加工中心            ","广东 深圳市 深圳龙岗区平湖镇"
10780,"聚龙化工有限公司（深圳龙岗办事处）        ","广东 深圳市 深圳龙岗同乐居委水流田村四巷4号"
10960,"深圳市景元电子有限公司              ","广东 深圳市 深圳龙华中环花园玉进阁309"
11412,"宝辉文化用品有限公司               ","广东 深圳市 深圳市"
11547,"深圳市众正科技发展有限公司            ","广东 深圳市 深圳市板田同兴路3号"
11554,"深圳市小见大电子厂                ","广东 深圳市 深圳市宝安"
11798,"深圳市泓源彩色印刷有限公司            ","广东 深圳市 深圳市宝安区"
11882,"深圳富悦幸电子科技有限公司            ","广东 深圳市 深圳市宝安区宝城40区宝安电子城三楼3158#"
12537,"飞达电机科技开发有限公司             ","广东 深圳市 深圳市宝安区沙井镇永一国际电子城Ａ１Ｂ１１７室"
12689,"富华实业（深圳）有限公司             ","广东 深圳市 深圳市宝安区松岗镇燕川西部工业区"
12733,"深圳市永利德科技有限公司             ","广东 深圳市 深圳市宝安区西乡固戍塘西队西井小区b座"
13333,"上海埃德电磁技术有限公司             ","广东 深圳市 深圳市福强路3018号绿景二期A栋2703室"
13381,"深圳市福田区中电信息时代广场万新电子经营部    ","广东 深圳市 深圳市福田区"
13454,"深圳市富尔门电子科技有限公司           ","广东 深圳市 深圳市福田区八卦岭工业区"
13727,"翊源电子（深圳）有限公司             ","广东 深圳市 深圳市福田区福星路福祥街福中楼701室"
13903,"新顶信电子有限公司                ","广东 深圳市 深圳市福田区华强电子世界3号楼5C068"
14108,"深圳市乐来电子有限公司-数码事业部        ","广东 深圳市 深圳市福田区深南大道6012安柏丽晶花园丽景阁2座"
14123,"创辉行电子（香港）有限公司            ","广东 深圳市 深圳市福田区深南中路2070号电子科技大厦C座39C1室"
14285,"深圳市万年青视听设备五金厂            ","广东 深圳市 深圳市福田区燕南路96号格林网苑1317"
14326,"深圳市惟信通信有限公司              ","广东 深圳市 深圳市福田区振华路东八号"
14353,"深圳市鲁光电子科技有限公司销售部         ","广东 深圳市 深圳市福田区振中路玮鹏花园7栋30C、D"
14748,"麒麟仪器经营部                  ","广东 深圳市 深圳市华强北华强电子世界3栋1楼C028室"
14853,"麒麟仪器仪表经营部                ","广东 深圳市 深圳市华强电子世界３号楼１楼Ｃ０２８室"
14868,"深圳市普福临报关行有限公司(进出口部)      ","广东 深圳市 深圳市皇岗海关出口报关大楼三楼.文锦渡海关出口报关大楼二楼.盐田港"
15146,"深圳市左岸艺术油画有限公司            ","广东 深圳市 深圳市龙岗区大芬油画村艺术广场一楼"
15194,"深圳市博星陶瓷经销部               ","广东 深圳市 深圳市龙岗区横岗镇大望村"
15226,"深圳市点创有限公司                ","广东 深圳市 深圳市龙岗区横岗镇政府对面爱联一楼606号"
15311,"深圳市盛磁电子有限公司（工程部）         ","广东 深圳市 深圳市龙岗区龙岗镇同乐工业区"
15500,"深圳市百朗化工有限公司              ","广东 深圳市 深圳市龙岗区盛龙花园11栋商铺16号"
15508,"深圳同富塑胶制品有限公司--出口部        ","广东 深圳市 深圳市龙岗区同乐第26工业区6幢"
15575,"深圳市森纳德科技有限公司             ","广东 深圳市 深圳市龙岗镇新生村龙山工业"
15621,"深圳市永鹏科技有限公司（商务部）         ","广东 深圳市 深圳市龙华横岒五区66幢3层"
15808,"深圳市威隆珠宝饰品有限公司            ","广东 深圳市 深圳市龙华镇上塘简上村９８栋"
15823,"深圳市天荣食品有限公司              ","广东 深圳市 深圳市龙华镇同富裕工业区12栋3楼"
15834,"深圳依丽儿服装批发商城(个体经营)        ","广东 深圳市 深圳市龙华镇中保富裕新村23栋"
16032,"深圳市绿元素生物科技有限公司           ","广东 深圳市 深圳市罗湖区东晓路布心工业区"
16136,"深圳市鸿富成商贸有限公司             ","广东 深圳市 深圳市罗湖区罗芳路安业花园Ｃ１栋504"
16315,"深圳市燃气用具有限公司              ","广东 深圳市 深圳市罗湖区纬三路燃气集团办公楼"
16444,"深圳广计科技有限公司               ","广东 深圳市 深圳市南山"
16607,"深圳市捷宇通信技术有限公司            ","广东 深圳市 深圳市南山区桂庙路62号顺天楼1012室"
16887,"力豪包装制品有限公司               ","广东 深圳市 深圳市南山区西丽华盛工业区A30栋"
17051,"深圳市龙岗区奔润塑胶制品厂            ","广东 深圳市 深圳市平湖镇辅城坳岐新一路５８号"
17092,"蒂恩斯科技（深圳）有限公司市场部         ","广东 深圳市 深圳市坪地镇坪西村吉祥一路63号"
17158,"深圳市盛达电子有限公司1             ","广东 深圳市 深圳市沙井永一电子国际1B041"
17161,"深圳市轿车轮胎专卖店               ","广东 深圳市 深圳市沙井镇北环路88号"
17276,"深圳市深恒威进出口有限公司            ","广东 深圳市 深圳市深南东路集浩大厦B座2009"
17364,"陆氏电源科技有限公司               ","广东 深圳市 深圳市石岩镇第五工业区`"
17459,"深圳市新大科技有限公司              ","广东 深圳市 深圳市泰山路12号"
17573,"深圳市江恒机械加工厂               ","广东 深圳市 深圳市盐田区永安路"
17705,"深圳市恒昌印刷厂                 ","广东 深圳市 石龙仔工业区"
17754,"汇时美门厂                    ","广东 深圳市 石岩镇塘坑村57号"
17939,"深圳市沤华报关行                 ","广东 深圳市 文锦度报关楼323房"
18694,"深圳市宝安区龙华中科迅电子厂           ","中国 广东 深圳市 宝安区龙华"
18715,"深圳市飞逸包装材料有限公司            ","中国 广东 深圳市 宝安区龙华上早工业区"
18729,"深圳市鑫科泰电子有限公司             ","中国 广东 深圳市 宝安区龙华镇华油工业区2栋5楼"
18972,"深圳市新艺精良精密机械有限公司          ","中国 广东 深圳市 宝安西乡崩山工业区14号厂房"
18991,"深圳市伟利标识有限公司              ","中国 广东 深圳市 宝安西乡乐群一路15号3楼"
18998,"深圳市金城利模具塑胶有限公司           ","中国 广东 深圳市 宝安西乡镇劳动第二工业区二栋二楼(西)"
19078,"深圳市康赛机电设备有限公司            ","中国 广东 深圳市 布吉镇沙湾沙平北路460号康赛公司"
19207,"深圳市麟睿电子有限公司              ","中国 广东 深圳市 福田区福中路海连大厦连云阁23B"
19521,"深圳市展鹏纸品包装有限公司            ","中国 广东 深圳市 观澜镇大和锦鲤工业区１４－１５栋"
19529,"深圳市宝安区观澜永昌五金加工厂          ","中国 广东 深圳市 观澜镇君子布君新路22号B栋"
19790,"深圳市帝力科技有限公司              ","中国 广东 深圳市 龙岗区布吉镇坂田光雅园工业区九区49号盘庚大厦四楼"
20332,"深圳市龙岗区平湖宝源模具制品厂          ","中国 广东 深圳市 平湖镇"
20352,"深圳市金百隆铝制品有限公司            ","中国 广东 深圳市 坪地镇坪西村吉祥一路63号B座"
20835,"深圳市宇芯科技发展有限公司            ","中国 广东 深圳市 深圳市宝安区宝民一路广场大厦1212室"
21121,"深圳市华康塑胶模具有限公司            ","中国 广东 深圳市 深圳市寶安區龍華鎮大浪龍富工業區第六棟"
21531,"深圳市荣瑞达电子有限公司             ","中国 广东 深圳市 深圳市龙岗区布吉龙岭路丽廷豪苑3017"
21576,"深圳市龙岗区坑梓镇有达五金塑胶行         ","中国 广东 深圳市 深圳市龙岗区坑梓镇秀新村75号"
21581,"深圳市君灿电子设备有限公司            ","中国 广东 深圳市 深圳市龙岗区龙东赤石岗小区"
21783,"深圳市艾洛华贸易有限公司             ","中国 广东 深圳市 深圳市罗湖区文锦渡南路惠州大厦609"
21810,"深圳市万欣丰科技有限公司             ","中国 广东 深圳市 深圳市南山区大冲"
21845,"深圳市南山区华星机电技术服务部          ","中国 广东 深圳市 深圳市南山区南山村"
21859,"深圳市精点测量仪器贸易行             ","中国 广东 深圳市 深圳市南山区南新路苏豪名厦门7D1"
21939,"深圳市宝安区沙井镇稳联电机厂           ","中国 广东 深圳市 深圳市沙井镇共和村第二工业区B32栋"
22129,"深圳市鹏程利实业发展有限公司           ","中国 广东 深圳市 盐田区沙深路121号科技创业二楼"
22147,"深圳市龙岗区骏丰塑料经销部            ","中国 广东 深圳市 中国广东深圳龙岗区平湖华南城皮革皮具原辅料物流区一期L06栋"
22324,"河北远大阀门集团有限公司石家庄分公司       ","中国 河北 石家庄市 石家庄市桥西区南长街东龙花园7-1-201号"
22532,"河北龙城集团                   ","中国.河北省.承德市.兴隆县"
22924,"唐山贝氏体钢铁(集团)汇杭特钢有限公司      ","中国.河北省.唐山市.丰南市唐山市丰南区大齐镇林屯"
23144,"保定市保运集团有限公司              ","中国.河北省.保定市.定州市定州市西关"
23299,"河北华美建材保温集团               ","中国 河北 大城县 全国"
23303,"河北神州保温建材集团               ","中国 河北 大城县 留各庄开发区"
23408,"桥防牌河北中泊防爆工具集团有限公司        ","中国 河北 泊头市 河东大街12号"
23482,"飞梦国际电子商务集团               ","中国 河北 保定市新市区 复兴路飞梦国际大厦B座103号"
23534,"河北时代木业集团                 ","中国 河北 邢台市 邢台市高开区"
23628,"七星集团复合材料有限公司             ","中国 河北 景县 河北省衡水市景县交警大队家属院4号"
