"supplier_name","address","phone"
"上海海钛软件科技有限公司             ","青浦区青安路887号54室","13725560570"
"上海梅格光学科技有限公司             ","青云路555号2幢415室","13809880158"
"上海巧丽美体馆                  ","宝山区蕴川路5475号","13266509216"
"上海狼海创业投资有限公司             ","浦东大道555号2902室","13641402000"
"深圳市鑫龙源电子有限公司             ","广东 深圳市 宝安区","13925206892"
"新辉电子行                    ","广东 深圳市 宝安区西乡","13603059132"
"大海塑胶有限公司                 ","广东 深圳市 宝安区西乡铁岗","13316829294"
"光明耗材公司                   ","广东 深圳市 福田区．福华新村","13790306477"
"神州通信有限公司深圳分公司            ","广东 深圳市 福田区振中路雍怡阁二楼","13713927678"
"深圳陆德电子科技有限公司             ","广东 深圳市 福永镇福桥第一工业区吉安泰工业园5栋","13760490159"
"利满达制衣有限公司                ","广东 深圳市 广东省深圳市福永镇龙王庙","13826548654"
"深圳市红泰移印器材有限公司            ","广东 深圳市 广东省深圳市龙岗区同乐其面村18区。","13316925958"
"深圳在此实业有限公司               ","广东 深圳市 咯吱","13798409546"
"基远贸易公司                   ","广东 深圳市 龙岗区","13543250061"
"深圳市美华废料回收公司              ","广东 深圳市 龙岗区平湖镇","13360078722"
"深圳万心科技有限公司               ","广东 深圳市 罗湖","13760156785"
"深圳春晖航空售票处                ","广东 深圳市 罗湖区红宝路南村","13570829266"
"深鹏汽车救援服务公司               ","广东 深圳市 罗湖区水贝二路","1.39E+10"
"陈卓人(个体经营)                ","广东 深圳市 罗湖旺业豪苑","13714532272"
"深圳市慧嘉科技有限公司              ","广东 深圳市 南山区","13927430199"
"易速达进出口有限公司。              ","广东 深圳市 南山区海雅阁","13510719658"
"格力贸易有限公司－库存贸易            ","广东 深圳市 沙井","13923724990"
"隆兴睿智五金厂                  ","广东 深圳市 深圳坑梓","13751039001"
"璇锐日用化工公司                 ","广东 深圳市 深圳罗湖","13823510382"
"雯琪(个体经营)                 ","广东 深圳市 深圳罗湖商业城","13714712294"
"深圳威斯特光电有限公司              ","广东 深圳市 深圳梅林","13824368871"
"中天纬柏制衣有限公司               ","广东 深圳市 深圳区","13560756905"
"江西省宜春市利群石材有限公司           ","广东 深圳市 深圳市宝安47区富民苑A座604","13538071016"
"深圳协诚通公司                  ","广东 深圳市 深圳市福田区新洲大厦2108","13713858263"
"宝威精密实业有限公司               ","广东 深圳市 深圳市福永","13826494441"
"深圳市永伟刃具厂                 ","广东 深圳市 深圳市福永镇凤凰大道西区","13244875823"
"诚意彩色印刷有限公司               ","广东 深圳市 深圳市观兰镇","13612970500"
"深圳市高风农副产品经营部             ","广东 深圳市 深圳市桂园路","13267148665"
"石慧珠宝行                    ","广东 深圳市 深圳市黄贝岭商城","13543332994"
"苏德凯（个体经营）                ","广东 深圳市 深圳市建设路","13724342167"
"杰羚公司                     ","广东 深圳市 深圳市罗湖区文锦广场","13590203554"
"荣正模具钢材(深圳)有限公司           ","广东 深圳市 松岗","13713915612"
"深圳市鑫达食品行                 ","广东 深圳市 西乡","13632959030"
"华美业礼品装饰商行                ","广东 深圳市 香蜜湖","13590491287"
"ShenzhenLeidiScience","中国 广东 深圳市 福田区新洲南路金享楼1栋3层","13823112660"
"深圳市宇维佳科技有限公司             ","中国 广东 深圳市 龙岗区龙河工业区","13723732813"
"深圳市宝安区伟裕达塑料制品厂           ","中国 广东 深圳市 全国","64976239"
"桂林永福强强木器厂                ","中国 广东 深圳市 深圳市布吉镇吉星花园4栋101","13917395311"
"深圳市博天微电子有限公司             ","中国 广东 深圳市 深圳市福田区车公庙劲松大厦10G","62274584"
"深圳市中港通进出口有限公司            ","中国 广东 深圳市 深圳市福田区田面村49栋一楼","641225134"
"深圳市长升利实业有限公司             ","中国 广东 深圳市 深圳市罗湖区红桂路松园南2巷3号","66630576"
"清泉钢铁集团                   ","中国.河北省.唐山市.唐山市","86-315-8568888 "
"河北金麦集团                   ","县城内","86-318-6360121 "
"廊坊益农集团公司                 ","中国 河北 霸州市 霸州市太平桥东100米","86-0316-7221963"
"河北省永年县标准件集团有限公司          ","中国 河北 永年县 永年","86-0310-6993456"
"安徽省祝融生物质能有限公司            ","安徽太湖县长河路100号","0556 4185633   "
"鞍山佳诚空压机有限公司              ","辽宁鞍山千山区宁远镇北地号","0412-8224511   "
"吉林元豪实业集团公司               ","吉林市吉桦路188号","0432-7654321   "
"沈阳嘉帝清洁设备有限公司             ","辽宁沈阳市洗地机","024-24518590   "
"南京安格药物研究有限公司             ","江苏南京市江东路","025-86215454   "
"南京福丰种业有限公司               ","南京市江苏省农科院","025-84448838   "
"苏州工业园区同步达科技有限公司          ","江苏苏州市苏州工业园区","0512-62996606  "
"秦皇岛赛康光电电子有限公司            ","河北 秦皇岛市 秦皇岛开发区钟山路-1号","0335-8040870   "
"上海亮流植绒厂                  ","嘉定区澄浏公路807号5幢","13715370809"
"上海桐瑞体育健身发展有限公司           ","康健路58弄23号一层","13824358379"
"上海俊平贸易有限公司               ","上海市金山区海丰路65号1014室","13924620303"
"上海飞贺实业有限公司               ","曲沃路357号裙房","13715334576"
"强森科技有限公司                 ","广东 深圳市 宝安.西乡.径贝新衬","13798408328"
"超利电子有限公司                 ","广东 深圳市 宝安区龙华","13824342785"
"深圳市本一镜片实业公司              ","广东 深圳市 宝安区龙华镇","13510650617"
"深圳市宝安区新奇特三维产品推广公司        ","广东 深圳市 宝安区龙华镇油松小学侧","13928432569"
"宏鑫刀模材料公司                 ","广东 深圳市 宝安区石岩","13798466943"
"国雄皮具厂01                  ","广东 深圳市 宝安区西乡","13827429581"
"金仓集团","广东 深圳市 深圳市龙华","10"
"振展五金厂                    ","广东 深圳市 宝安沙井万丰","13265559755"
"恒益达铭牌有限公司                ","广东 深圳市 宝安西乡固戍西荣工业区","13928479582"
"惠和轩画廊                    ","广东 深圳市 布吉大芬","13530734705"
"锦星丝带制品厂                  ","广东 深圳市 布吉镇吉华路410号","13510987191"
"深圳市中天欣贸易有限公司             ","广东 深圳市 翻身","13714138119"
"安邦有限公司                   ","广东 深圳市 福田区","13600437008"
"花衣赏精品外贸服装有限公司            ","广东 深圳市 福田区","13510442469"
"逢昌丝印蚀刻厂                  ","广东 深圳市 横岗188工业区","13632588916"
"华光电子厂 销售部                ","广东 深圳市 华强北国际电子城","13724377120"
"深圳懿骏电子厂                  ","广东 深圳市 吉华路68号","13265716561"
"金多利电子有限公司                ","广东 深圳市 龙岗区横岗镇荷坳联泰路2号","13714384366"
"康唯模具五金行                  ","广东 深圳市 龙岗区坪地","13823665094"
"深圳市永恒科技有限公司              ","广东 深圳市 龙岗区坪山镇","13510066156"
"深圳康鹏工艺制品厂                ","广东 深圳市 龙岗区新生低山工业区","13728648511"
"深圳市新一代广告有限公司             ","广东 深圳市 龙华街道万众城","13684907597"
"深圳市英宁服饰有限公司              ","广东 深圳市 罗湖区","13510972322"
"佳文自动化科技有限公司              ","广东 深圳市 南头","13798581429"
"惠通电路有限公司                 ","广东 深圳市 坪山镇坪环工业区","13802565044"
"忠诚加工厂                    ","广东 深圳市 沙井万丰","13530804373"
"深圳北极熊食品机械有限公司            ","广东 深圳市 沙井镇新二工业区","13728624499"
"深圳市元君实业有限公司1             ","广东 深圳市 深圳","1321318807"
"立昕科技有限公司                 ","广东 深圳市 深圳宝安区龙华镇","13798454858"
"康胜电池实业有限公司               ","广东 深圳市 深圳宝安西乡","13249858115"
"阿万电子销售商行                 ","广东 深圳市 深圳布吉","13266797243"
"同心标牌厂                    ","广东 深圳市 深圳龙岗","13543263989"
"深圳市益富印刷厂                 ","广东 深圳市 深圳龙华建龙工业区","13662261710"
"协力模具制造厂                  ","广东 深圳市 深圳平湖镇","13554977415"
"深圳市华杰模型有限公司              ","广东 深圳市 深圳市宝安区","13544143864"
"深圳兴东公司                   ","广东 深圳市 深圳市宝安区沙井镇黄埔工业区","13316588885"
"恒基钙业有限分司                 ","广东 深圳市 深圳市宝安区松岗镇","13316951898"
"深圳市顺联科技公司                ","广东 深圳市 深圳市宝安区桃园居","13554848959"
"广东喜洋洋贸易有限公司              ","广东 深圳市 深圳市福田区景田","13631683588"
"康尼科技有限公司                 ","广东 深圳市 深圳市龙华","13530789231"
"深圳华泰电子材料有限公司             ","广东 深圳市 深圳市龙华国际电子城2楼C区097","13244792129"
"深圳市志成五金电动门厂              ","广东 深圳市 深圳市龙华镇民治村","13714091018"
"深圳市金荣实业进出口有限公司           ","广东 深圳市 深圳市罗湖区爱国路新丰大厦16A","13510204948"
"博乐琴行                     ","广东 深圳市 深圳市罗湖区立新路三号","13714770780"
